"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"VARIABLE FIELD EMISSION DEVICE","US2016013009 (A1); US9824845 (B2)","2016-01-14","CHEATHAM III JESSE R [US];  ECKHOFF PHILIP ANDREW [US];  GATES WILLIAM [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  TUCKERMAN DAVID B [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US];  HYDE RODERICK A [US]","ELWHA LLC [US];  ELWHA LLC","H01J19/38; H01J21/06; H01J45/00","H01J19/38; H01J19/78; H01J19/80; H01J21/06; H01J29/02; H01J29/481; H01J45/00","US201514863098","20150923","US201161631270P 20111229; US201113374545 20111230; US201261638986P 20120426; US201313774893 20130222; US201514863098 20150923","US3141143 (A); US3254244 (A); US4721885 (A); US4771201 (A); US5371371 (A); US5834781 (A); US5850120 (A); US6024618 (A); US2003006684 (A1); US6590320 (B1); US6644036 (B2); US2006284539 (A1); US7462979 (B2); US2009115305 (A1); US2009303654 (A1); US2013229105 (A1); US8692226 (B2); US8810131 (B2); US8810161 (B2); US8928228 (B2)","","","","","","","","US2404919 (A); US2489850 (A); US2744960 (A); US2798963 (A); US4274035 (A); US4427886 (A); US5177402 (A); CN1069828 (A); US5272411 (A); US5376184 (A); US5386172 (A); US5548138 (A); US5578901 (A); US5606215 (A); US5631524 (A); US5717279 (A); US5838096 (A); US5908699 (A); US5936348 (A); US5936354 (A); US5942834 (A); US5982095 (A); US6031336 (A); US6104143 (A); EP1063197 (A2); US6205790 (B1); US6249080 (B1); TW451256B (B); US6313587 (B1); US2002036452 (A1); US6373175 (B1); US6404089 (B1); US2003001490 (A1); US6538367 (B1); US2003124944 (A1); US2003132393 (A1); US6632113 (B1); US2004004588 (A1); US2004036402 (A1); CN1481542 (A); US2004050415 (A1); US2004118347 (A1); US2004226914 (A1); US2004238809 (A1); US2005001598 (A1); US2005016575 (A1); US2005057168 (A1); US2005151461 (A1); US6949887 (B2); US7061188 (B1); US2006139207 (A1); CN1816684 (A); US2006261724 (A1); US2006273301 (A1); US7157849 (B2); US2007023621 (A1); US2007046163 (A1); US2007158588 (A1); US2008001513 (A1); US2008017237 (A1); US2008100235 (A1); US2009011706 (A1); US2009146583 (A1); US2009194870 (A1); CN101635245 (A); US2010019648 (A1); US2010026160 (A1); US2010066245 (A1); US2010090579 (A1); US2010102325 (A1); US7710013 (B2); US2010108882 (A1); US7741764 (B1); US7750462 (B1); US2010271003 (A1); US7825591 (B2); US2010283436 (A1); US2010295486 (A1); US2010329964 (A1); US2011037400 (A1); US7903789 (B2); US2011088954 (A1); US2011139203 (A1); US2011147761 (A1); US2011186805 (A1); US2011192976 (A1); US2011201201 (A1); US8018169 (B2); US2011226960 (A1); CN102339699 (A); CN102339699 (A); US2012041370 (A1); US2013168635 (A1); US2013169108 (A1); US2013169156 (A1); US2013169193 (A1); US2013221843 (A1); US2013229133 (A1); US2013313980 (A1); US2014070696 (A1); US2014333213 (A1)","","","","",""
"TACTILE DISPLAY DRIVEN BY SURFACE ACOUSTIC WAVES","EP3014402 (A1); EP3014402 (A4)","2016-05-04","CHEATHAM JESSE R III [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  WOOD LOWELL L JR [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","G06F3/043","G06F3/016; G06F3/0436","EP20140817466","20140619","US201313929337 20130627; WO2014US43220 20140619","EP0233472 (A1); US2005146512 (A1); US2005248547 (A1); US2010026667 (A1); US2012111119 (A1); US2012274609 (A1); US2013113760 (A1); US2013127755 (A1)","","","","","","","","","","US2007024593 (A1); US2011234502 (A1); US2011260988 (A1); US2012229400 (A1); US2012274610 (A1)","","",""
"PIPELINE LEAK SEALING SYSTEM AND METHOD","US2016131297 (A1); US9587780 (B2)","2016-05-12","CHEATHAM III JESSE R [US];  DUNCAN WILLIAM DAVID [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","F16L55/1645; F16L55/165","F16L55/163; F16L55/1645; F16L55/1654","US201614996939","20160115","US201614996939 20160115; US201313955929 20130731","","","","","","","","","US3103235 (A); US3298399 (A); US3827282 (A); US3908682 (A); US4026329 (A); US4314577 (A); US4415390 (A); US4429720 (A); US4567817 (A); US5778919 (A); US5833001 (A); US6899138 (B2); US6966373 (B2); US7296597 (B1); US7452161 (B2); US7500834 (B2); US8061389 (B2); US2004247451 (A1); US2006278281 (A1); US2007284011 (A1); US2012067447 (A1); US2012080114 (A1)","","","","",""
"CAMOUFLAGE FOR TRANSMISSION TOWERS AND LINES","US2016208994 (A1); US9696119 (B2)","2016-07-21","CHEATHAM III JESSE R [US];  DEANE GEOFFREY F [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  TUCKERMAN DAVID B [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","ELWHA LLC [US]","F21S10/00; F21S8/00; F21V23/00; F41H3/00; H01B9/00","E04H12/02; E04H12/04; E04H12/10; E04H12/12; F21V33/00; F41H3/00; F21Y2113/13; F21Y2115/10; H02G7/00","US201514597807","20150115","US201514597807 20150115","US2004036006 (A1); US2008246679 (A1); US2008261002 (A1); US2014105745 (A1); US2004036006 (A1); US2008246679 (A1); US2008261002 (A1); US2014105745 (A1)","","","","","","","","US2292848 (A); US4212440 (A); US4288974 (A); US6408865 (B1); US7132635 (B2); US2013284512 (A1)","","","","",""
"SYSTEMS AND METHODS FOR FACILITATING PHYSIOLOGICAL DATA COLLECTION PRIOR TO APPOINTMENT","US10665332 (B2); US2016217259 (A1)","2016-07-28","CHAN ALISTAIR K [US];  CHEATHAM III JESSE R [US];  CHERKIS JOEL [US];  DIETZ PAUL H [US];  DRISCOLL TOM [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  JORDAN NEIL [US];  KARE JORDIN T [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  NEILL PATRICK [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  SMITH DAVID R [US];  SWEENEY ELIZABETH A [US];  TAN DESNEY S [US];  TEGREENE CLARENCE T [US];  TENNENHOUSE DAVID L [US];  URZHUMOV YAROSLAV A [US];  WACHOWICZ GARY [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","G06F19/00","G16H10/40; G16H10/60; G16H40/20; G16H50/20","US201514604425","20150123","US201514604425 20150123","US2005075906 (A1); US2002059030 (A1); US2011078820 (A1); US7734482 (B1); US2008208633 (A1); US2014161667 (A1); US2011178820 (A1); US2011130746 (A1); US7734482 (B1); US2002059030 (A1); US2005075906 (A1); US2008208633 (A1); US2011130746 (A1); US2011178820 (A1); US2014161667 (A1)","","","","","","","","US7485095 (B2); US7860725 (B2); US8285560 (B2); US2003120135 (A1); US2004147818 (A1); US2006122525 (A1); US2007156626 (A1); US2009144088 (A1); US2011092825 (A1); US2012143013 (A1); US2013013333 (A1)","","","","",""
"DETERMINING THREATS BASED ON INFORMATION FROM ROAD-BASED DEVICES IN A TRANSPORTATION-RELATED CONTEXT","US10079929 (B2); US2016286026 (A1)","2016-09-29","LORD RICHARD T [US];  LORD ROBERT W [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  HYDE RODERICK A [US];  WOOD JR LOWELL L [US];  ISHIKAWA MURIEL Y [US];  WOOD VICTORIA Y H [US];  WHITMER CHARLES [US];  BAHL PARAMVIR [US];  BURGER DOUGLAS C [US];  CHANDRA RANVEER [US];  GATES III WILLIAM H [US];  HOLMAN PAUL [US];  KARE JORDIN T [US];  MUNDIE CRAIG J [US];  PAEK TIM [US];  TAN DESNEY S [US];  ZHONG LIN [US];  DYOR MATTHEW G [US]","MICROSOFT TECHNOLOGY LICENSING LLC [US]","H04B1/3827; H04M1/725; H04W4/40; H04W4/70","G02B27/017; G08G1/04; G08G1/042; G08G1/052; G08G1/056; G08G1/087; G08G1/096716; G08G1/096741; G08G1/096775; G08G1/096791; G08G1/162; G08G1/164; H04B1/385; H04M1/724097; H04M1/724098; H04W4/40; H04W4/70; G01S3/802; G02B2027/0138; G02B2027/014; H04B2001/3866","US201615177535","20160609","US201113309248 20111201; US201113324232 20111213; US201113340143 20111229; US201213356419 20120123; US201213362823 20120131; US201213397289 20120215; US201213407570 20120228; US201213425210 20120320; US201615177535 20160609","US5983161 (A); US6466862 (B1); US2007138347 (A1); US2011298603 (A1); US8175297 (B1); US2013124073 (A1); US5983161 (A); US6466862 (B1); US2007138347 (A1); US2011298603 (A1); US8175297 (B1); US2013124073 (A1)","","","","","","","","US5239586 (A); US5515026 (A); US5995898 (A); US6157727 (A); US6226389 (B1); US6304648 (B1); US6326903 (B1); US2002021799 (A1); US6370475 (B1); US2002196134 (A1); US2003009277 (A1); US6529866 (B1); US2003139881 (A1); US2003158900 (A1); US6628767 (B1); US2004064322 (A1); US6731202 (B1); US2004100868 (A1); US2004122678 (A1); US2004172252 (A1); US2004230651 (A1); US2004263610 (A1); US2005010407 (A1); US2005018828 (A1); US2005038648 (A1); US2005041529 (A1); US2005088981 (A1); US2005135583 (A1); US6944474 (B2); US2005207554 (A1); US2005222769 (A1); US2006080004 (A1); US2006195850 (A1); US2007118498 (A1); US7224981 (B2); US7324015 (B1); US2008061958 (A1); US2008117838 (A1); US2008195387 (A1); US2008270132 (A1); US2008300777 (A1); US2009040037 (A1); US2009070102 (A1); US2009119324 (A1); US2009198735 (A1); US2009204620 (A1); US7606444 (B1); US2009271176 (A1); US2009281789 (A1); US2009282103 (A1); US2009306957 (A1); US2009307616 (A1); US2010040217 (A1); US2010135478 (A1); US2010153497 (A1); US2010185434 (A1); US7783022 (B1); US2010222098 (A1); US2010315218 (A1); US2011010041 (A1); US2011153324 (A1); US2011184721 (A1); US2011196580 (A1); US2011216928 (A1); US2011237295 (A1); US8050917 (B2); US2011270922 (A1); US2011307241 (A1); US2012010886 (A1); US2012025965 (A1); US2012046833 (A1); US2012069131 (A1); US2012072109 (A1); US2012075407 (A1); US2012197629 (A1); US2012323575 (A1); US8352245 (B1); US2013021950 (A1); US2013022189 (A1); US8369184 (B2); US2013057691 (A1); US2013058471 (A1); US2013063542 (A1); US2013103399 (A1); US2013141576 (A1); US2013204616 (A1); US8618952 (B2); US2014055242 (A1); US8669854 (B2); US2015336578 (A1)","","","","",""
"ONE-TOUCH REPLAY FOR WHITEBOARD","US2016320954 (A1)","2016-11-03","ANGIULO MICHAEL [US];  BREWER BRETT D [US];  CHEATHAM III JESSE R [US];  GATES WILLIAM [US];  HAN JEFFERSON Y [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  JUNG EDWARD K Y [US];  KARE JORDIN T [US];  MANKIN MAX N [US];  MITAL VIJAY [US];  MYHRVOLD NATHAN P [US];  NEILL PATRICK [US];  NETZ AMIR [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  RUDDER ERIC D [US];  SMITH DAVID R [US];  TEGREENE CLARENCE T [US];  TENNENHOUSE DAVID L [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","G06F3/0484; G06F3/0488","G06F3/04842; G06F3/04845; G06F3/04847; G06F3/04883; G06F9/451; G06F8/38","US201514700648","20150430","US201514700648 20150430","US5717879 (A); US6188396 (B1); US2002002562 (A1); US6529920 (B1); US2010162170 (A1); US2011029893 (A1); US2011113348 (A1); US2011276881 (A1); US2014055400 (A1); US2005091596 (A1)","","","","","","","","","","","","",""
"INTERACTIVE SURGICAL DRAPE, SYSTEM, AND RELATED METHODS","US2016334864 (A1)","2016-11-17","CHEATHAM III JESSE R [US];  CHERKIS JOEL [US];  DIETZ PAUL H [US];  DRISCOLL TOM [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  JORDAN NEIL [US];  KARE JORDIN T [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  NEILL PATRICK [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  SMITH DAVID R [US];  SWEENEY ELIZABETH A [US];  TAN DESNEY S [US];  TEGREENE CLARENCE T [US];  TENNENHOUSE DAVID LAWRENCE [US];  URZHUMOV YAROSLAV A [US];  WACHOWICZ GARY [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","G06F3/01","A61B34/00; A61B46/00; A61B46/40; A61B90/37; G06F3/01; A61B2017/00022; A61B2017/00221; A61B2090/372","US201514708599","20150511","US201514708599 20150511","US2003060831 (A1); US2005128184 (A1); US2010170519 (A1); US2010305427 (A1); US2013085509 (A1)","","","","","","","","","","","","",""
"INTERACTIVE SURGICAL DRAPE, SYSTEM, AND RELATED METHODS","US10235737 (B2); US2016331460 (A1)","2016-11-17","CHEATHAM III JESSE R [US];  CHERKIS JOEL [US];  DIETZ PAUL H [US];  DRISCOLL TOM [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  JORDAN NEIL [US];  KARE JORDIN T [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  NEILL PATRICK [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  SMITH DAVID R [US];  SWEENEY ELIZABETH A [US];  TAN DESNEY S [US];  TEGREENE CLARENCE T [US];  TENNENHOUSE DAVID LAWRENCE [US];  URZHUMOV YAROSLAV A [US];  WACHOWICZ GARY [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","A61B5/00; A61B5/02; A61B5/11; G06T1/60; G06T15/00; G06T19/00","A61B5/0024; A61B5/02438; A61B5/322; A61B5/6804; A61B5/7282; A61B5/7405; A61B5/742; A61B5/7455; A61B5/7465; A61B46/00; A61B46/10; A61B90/36; G06T1/60; G06T15/00; G06T19/003; G06T19/006; G16H80/00; A61B5/0064; A61B5/02055; A61B5/11; A61B5/14542; A61B5/369; A61B5/389; A61B5/398; A61B5/4875; A61B2017/00022; A61B2017/00221; A61B2046/236; A61B90/361; A61B2560/0266; A61B2560/0462; G06T2200/04","US201514708543","20150511","US201514708543 20150511","US2003060831 (A1); US2010100081 (A1); US2010305427 (A1); US2014323856 (A1); US2015065839 (A1); US2016331461 (A1); US2016334864 (A1); US2005128184 (A1); US2006042631 (A1); US7605710 (B2); US2011046534 (A1); US7605710 (B2); US2003060831 (A1); US2005128184 (A1); US2006042631 (A1); US2010100081 (A1); US2010305427 (A1); US2011046534 (A1); US2014323856 (A1); US2015065839 (A1); US2016331461 (A1); US2016334864 (A1)","","","","","","","","US7114500 (B2); US7254439 (B2); US7272431 (B2); US7811234 (B2); US7889053 (B2); US8232866 (B2); US2001036245 (A1); US2004123667 (A1); US2005245831 (A1); US2006058694 (A1); US2007102005 (A1); US2008047567 (A1); US2010002402 (A1); US2010170519 (A1); US2011093296 (A1); US2012320581 (A1); US2013085509 (A1); US2013218142 (A1); US2013240623 (A1); US2015182322 (A1); WO03048789 (A2)","","","","",""
"INTERACTIVE SURGICAL DRAPE, SYSTEM, AND RELATED METHODS","US10226219 (B2); US2016331461 (A1)","2016-11-17","CHEATHAM III JESSE R [US];  CHERKIS JOEL [US];  DIETZ PAUL H [US];  DRISCOLL TOM [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  JORDAN NEIL [US];  KARE JORDIN T [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  NEILL PATRICK [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  SMITH DAVID R [US];  SWEENEY ELIZABETH A [US];  TAN DESNEY S [US];  TEGREENE CLARENCE T [US];  TENNENHOUSE DAVID LAWRENCE [US];  URZHUMOV YAROSLAV A [US];  WACHOWICZ GARY [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US];  ELWHA LLC","A61B5/00; A61B5/0205; A61B5/0402; A61B5/0476; A61B5/0488; A61B5/0496; A61B5/11; A61B5/145","A61B5/0024; A61B5/02438; A61B5/322; A61B5/6804; A61B5/7282; A61B5/7405; A61B5/742; A61B5/7455; A61B5/7465; A61B46/00; A61B46/10; A61B90/36; G16H80/00; A61B5/0064; A61B5/02055; A61B5/11; A61B5/14542; A61B5/369; A61B5/389; A61B5/398; A61B5/4875; A61B2017/00022; A61B2017/00221; A61B2046/236; A61B2560/0266; A61B2560/0462","US201514708569","20150511","US201514708569 20150511","US2003060831 (A1); US2010305427 (A1); US2014323856 (A1); US2015065839 (A1); US2005128184 (A1); US2015182322 (A1); US2013240623 (A1); US2003060831 (A1); US2005128184 (A1); US2010305427 (A1); US2013240623 (A1); US2014323856 (A1); US2015065839 (A1); US2015182322 (A1); US2016331461 (A1)","","","","","","","","US7114500 (B2); US7254439 (B2); US7272431 (B2); US7605710 (B2); US7811234 (B2); US7889053 (B2); US8232866 (B2); US2001036245 (A1); US2004123667 (A1); US2005245831 (A1); US2006042631 (A1); US2006058694 (A1); US2007102005 (A1); US2008047567 (A1); US2010002402 (A1); US2010100081 (A1); US2010170519 (A1); US2011046534 (A1); US2011093296 (A1); US2012320581 (A1); US2013085509 (A1); US2013218142 (A1); US2016334864 (A1); WO03048789 (A2)","","","","",""
"SYSTEMS, DEVICES, METHODS, AND COMPOSITIONS INCLUDING FLUIDIZED X-RAY SHIELDING COMPOSITIONS","US2017032856 (A1)","2017-02-02","ECKHOFF PHILIP A [US];  GATES III WILLIAM H [US];  HAGELSTEIN PETER L [US];  HYDE RODERICK A [US];  KARE JORDIN T [US];  LANGER ROBERT [US];  LIEBERMAN EREZ [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  SCHNALL-LEVIN MICHAEL [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","ELWHA LLC [US]","C09D5/32; G21F1/02; G21F1/06; G21F1/08; G21F1/10; G21F3/02","A61B6/10; C09D5/32; G21F1/02; G21F1/06; G21F1/08; G21F1/10; G21F3/00; G21F3/02","US201615230612","20160808","US201113373139 20111103; US201615230612 20160808","US2747105 (A); US3514607 (A); US3818229 (A); DE3224105 (A1); US2005211930 (A1)","","","","","","","","","","","","",""
"DETECTING AND CLASSIFYING PEOPLE OBSERVING A PERSON","US2017053190 (A1)","2017-02-23","CHEATHAM III JESSE R [US];  CHERKIS JOEL [US];  DIETZ PAUL H [US];  DRISCOLL TOM [US];  DUNCAN WILLIAM DAVID [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  JORDAN NEIL [US];  KARE JORDIN T [US];  LEUTHARDT ERIC C [US];  MYHRVOLD NATHAN P [US];  NEILL PATRICK [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  SMITH DAVID R [US];  SWEENEY ELIZABETH A [US];  TAN DESNEY S [US];  TEGREENE CLARENCE T [US];  TENNENHOUSE DAVID LAWRENCE [US];  URZHUMOV YAROSLAV A [US];  WACHOWICZ GARY [US];  WOOD LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","G06K9/00; G06K9/62","G06V40/10; H04N23/61; H04N23/60; H04N21/44218; G06F3/0605; G06T2207/30196; G06F3/04812; G06K7/10475","US201514830950","20150820","US201514830950 20150820","US7953690 (B2); US2011175810 (A1); US2011216942 (A1); US2012075122 (A1); US2012087572 (A1); US2013078600 (A1); US2013155229 (A1); US2014003716 (A1); US2014015981 (A1); US8723787 (B2); US8793155 (B2); US2014222462 (A1); US2014340531 (A1); US2015087257 (A1); US2015085133 (A1); US2015249584 (A1); US2016078904 (A1); US2016127641 (A1); US2017004356 (A1); US2017094179 (A1); US2017173262 (A1)","","","","","","","","","","","","",""
"SEARCH GUIDED BY LOCATION AND CONTEXT","US10592569 (B2); US2017300579 (A1)","2017-10-19","FLAKE GARY [US];  GATES III WILLIAM H [US];  HORVITZ ERIC J [US];  GOODMAN JOSHUA T [US];  CHAUDHURI SURAJIT J [US];  GRIFFIN TRENHOLME J [US];  HURST-HILLER OLIVER [US];  MOSS KENNETH A [US]","MICROSOFT TECHNOLOGY LICENSING LLC [US]","G06F17/30; G06Q30/02","G06F16/29; G06F16/444; G06F16/9535; G06F16/9537; G06Q30/0261","US201615392654","20161228","US20060427287 20060628; US201414506448 20141003; US201615392654 20161228","US6336117 (B1); US2002065802 (A1); US6336117 (B1); US2002065802 (A1)","","","","","","","","US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); WO9800787 (A1); US5812865 (A); US2001030664 (A1); US2001040590 (A1); US2001040591 (A1); US6321158 (B1); US2001043231 (A1); US2001043232 (A1); US6353398 (B1); US2002032689 (A1); US2002035474 (A1); US2002044152 (A1); US2002049644 (A1); US2002049709 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002069117 (A1); US2002078045 (A1); US2002078204 (A1); US2002078525 (A1); US2002080155 (A1); US2002080156 (A1); US2002082930 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US2002116287 (A1); US2002128899 (A1); US2002138479 (A1); US2002143560 (A1); US6466232 (B1); US2002150050 (A1); US2002191034 (A1); US2002194081 (A1); US2002198814 (A1); US2003004802 (A1); US2003013438 (A1); US2003014307 (A1); US6513046 (B1); EP1288795 (A1); US2003046401 (A1); US2003069877 (A1); US6549915 (B2); US2003071837 (A1); US2003125958 (A1); US2003126250 (A1); US2003135499 (A1); US2003154476 (A1); US2003158796 (A1); US2003171941 (A1); US2003216960 (A1); US6672506 (B2); US2004006478 (A1); US2004024846 (A1); US6691106 (B1); US2004030490 (A1); US2004041836 (A1); US2004044658 (A1); US2004056905 (A1); US2004070602 (A1); US6741188 (B1); US6745178 (B1); US6747675 (B1); US2004148275 (A1); USD494584S (S); US6791580 (B1); US6796505 (B2); US6801223 (B1); US2004198386 (A1); US2004201500 (A1); US6812937 (B1); US2004225560 (A1); US2004243580 (A1); US2004249559 (A1); US6837436 (B2); US2005004838 (A1); US6842877 (B2); US2005034078 (A1); US2005038856 (A1); US2005064959 (A1); US2005065959 (A1); US2005075932 (A1); US2005091202 (A1); US2005091205 (A1); US2005159970 (A1); US6934684 (B2); US6935566 (B1); US2005240512 (A1); US2005251440 (A1); US6965868 (B1); US2005257240 (A1); US6968333 (B2); US2005266858 (A1); US2005267816 (A1); US2005272442 (A1); US2005273351 (A1); US2005278443 (A1); US2005289113 (A1); US2006004703 (A1); US2006004713 (A1); US2006019676 (A1); US7010501 (B1); US2006069699 (A1); US2006075034 (A1); WO2006036216 (A2); US7040541 (B2); US7063263 (B2); US2006195385 (A1); US2006195790 (A1); US7103470 (B2); US2006218111 (A1); US2007005654 (A1); US7171378 (B2); US2007061246 (A1); US2007061302 (A1); US7195157 (B2); US2007100798 (A1); US2007130182 (A1); US2007136429 (A1); US2007192229 (A1); US2007233672 (A1); US2007271235 (A1); US2008005071 (A1); US2008005074 (A1); US2008005104 (A1); US2008090591 (A1); US2008091537 (A1); US7385501 (B2); US2008161018 (A1); US7409384 (B2); US2009006413 (A1); US7480712 (B2); US7516010 (B1); US7525450 (B2); US7529639 (B2); US7640511 (B1); US7693752 (B2); US7702536 (B1); US2010153832 (A1); US2015149430 (A1); US9141704 (B2); US9396269 (B2)","","","","",""
